date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:02:52	89775/89775	---M--	200	added ('OK')	image/jpeg	etag:%225ba6705e-1942f%22	https://colorlib.com/preview/theme/dentacare/images/about-2.jpg	E:/fpoly/theme/theme2/colorlib.com/preview/theme/dentacare/images/about-2.jpg	(from https://colorlib.com/preview/theme/dentacare/index.html)
15:02:52	50562/50562	---M--	200	added ('OK')	image/jpeg	etag:%225ba67080-e53f%22	https://colorlib.com/preview/theme/dentacare/images/person_5.jpg	E:/fpoly/theme/theme2/colorlib.com/preview/theme/dentacare/images/person_5.jpg	(from https://colorlib.com/preview/theme/dentacare/index.html)
15:02:53	26503/26503	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2025%20Oct%202019%2008:02:54%20GMT	https://colorlib.com/preview/theme/dentacare/teacher-single.html	E:/fpoly/theme/theme2/colorlib.com/preview/theme/dentacare/teacher-single.html	(from https://colorlib.com/preview/theme/dentacare/index.html)
15:02:53	70968/70968	---M--	200	added ('OK')	image/jpeg	etag:%225ba67084-143ff%22	https://colorlib.com/preview/theme/dentacare/images/person_6.jpg	E:/fpoly/theme/theme2/colorlib.com/preview/theme/dentacare/images/person_6.jpg	(from https://colorlib.com/preview/theme/dentacare/index.html)
15:02:53	50423/50423	---M--	200	added ('OK')	image/jpeg	etag:%225ba67084-e965%22	https://colorlib.com/preview/theme/dentacare/images/person_7.jpg	E:/fpoly/theme/theme2/colorlib.com/preview/theme/dentacare/images/person_7.jpg	(from https://colorlib.com/preview/theme/dentacare/index.html)
15:02:53	43640/43640	---M--	200	added ('OK')	image/jpeg	etag:%225ba67085-c051%22	https://colorlib.com/preview/theme/dentacare/images/person_8.jpg	E:/fpoly/theme/theme2/colorlib.com/preview/theme/dentacare/images/person_8.jpg	(from https://colorlib.com/preview/theme/dentacare/index.html)
15:02:53	31682/31682	---M--	200	added ('OK')	image/jpeg	etag:%225ba6707c-8cfa%22	https://colorlib.com/preview/theme/dentacare/images/person_1.jpg	E:/fpoly/theme/theme2/colorlib.com/preview/theme/dentacare/images/person_1.jpg	(from https://colorlib.com/preview/theme/dentacare/index.html)
15:02:53	42386/42386	---M--	200	added ('OK')	image/jpeg	etag:%225ba6707e-bb43%22	https://colorlib.com/preview/theme/dentacare/images/person_2.jpg	E:/fpoly/theme/theme2/colorlib.com/preview/theme/dentacare/images/person_2.jpg	(from https://colorlib.com/preview/theme/dentacare/index.html)
15:02:54	31412/31412	---M--	200	added ('OK')	image/jpeg	etag:%225ba6707e-8918%22	https://colorlib.com/preview/theme/dentacare/images/person_3.jpg	E:/fpoly/theme/theme2/colorlib.com/preview/theme/dentacare/images/person_3.jpg	(from https://colorlib.com/preview/theme/dentacare/index.html)
15:02:55	26503/26503	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2025%20Oct%202019%2008:02:56%20GMT	https://colorlib.com/preview/theme/dentacare/gallery.html	E:/fpoly/theme/theme2/colorlib.com/preview/theme/dentacare/gallery.html	(from https://colorlib.com/preview/theme/dentacare/index.html)
